,level_0,level_1,level_2,level_3,individual importance,total importance,individual std,total std
3,sett_model,,,,0.5714285714285714,0.5714285714285714,0.4948716593053935,0.4948716593053935
1,sett_exclude_features,,,,0.42857142857142855,0.42857142857142855,0.49487165930539345,0.49487165930539345
0,sett_cutoff,,,,0.0,0.0,0.0,0.0
2,sett_exclude_subgroups,,,,0.0,0.0,0.0,0.0
4,sett_cutoff,sett_exclude_features,,,0.0,0.42857142857142855,0.0,0.49487165930539345
5,sett_cutoff,sett_exclude_subgroups,,,0.0,0.0,0.0,0.0
6,sett_cutoff,sett_model,,,0.0,0.5714285714285714,0.0,0.4948716593053935
7,sett_exclude_features,sett_exclude_subgroups,,,0.0,0.42857142857142855,0.0,0.49487165930539345
8,sett_exclude_features,sett_model,,,0.0,1.0,0.0,0.0
9,sett_exclude_subgroups,sett_model,,,0.0,0.5714285714285714,0.0,0.4948716593053935
10,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,0.0,0.42857142857142855,0.0,0.49487165930539345
11,sett_cutoff,sett_exclude_features,sett_model,,0.0,1.0,0.0,0.0
12,sett_cutoff,sett_exclude_subgroups,sett_model,,0.0,0.5714285714285714,0.0,0.4948716593053935
13,sett_exclude_features,sett_exclude_subgroups,sett_model,,0.0,1.0,0.0,0.0
14,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,0.0,1.0,0.0,0.0
